round_num,n_samples,accuracy,calibration_accuracy,roc_auc,log_loss,brier_score,avg_confidence,model,dataset
19,12190,0.7355209187858901,0.7355209187858901,0.8131754332718019,0.5301872181120608,0.17639665536020144,0.49999720296751776,logistic_regression,kaggle
20,11758,0.7472359244769519,0.7472359244769519,0.8158465089516741,0.5275133538957782,0.1749479306092441,0.5000074788355414,logistic_regression,kaggle
21,11162,0.7428776204981186,0.7428776204981186,0.8144747513296466,0.5298908810702387,0.17583906896991422,0.5000146875413831,logistic_regression,kaggle
22,10496,0.741234756097561,0.741234756097561,0.8121792114185195,0.5344809697830464,0.17733029975094938,0.5000113679975429,logistic_regression,kaggle
23,9700,0.7418556701030928,0.7418556701030928,0.8140641088319693,0.5343445484173412,0.17740708444537837,0.5000132926605494,logistic_regression,kaggle
24,8800,0.7427272727272727,0.7427272727272727,0.8078486828512397,0.5448774858959742,0.18111244155479012,0.5000137511589274,logistic_regression,kaggle
25,7798,0.7350602718645807,0.7350602718645807,0.806870761674576,0.5519960434430989,0.1839983285666554,0.5000110026196712,logistic_regression,kaggle
26,6794,0.7435972917279953,0.7435972917279953,0.8025508489932371,0.5624668618615278,0.18846233758873682,0.500009096608259,logistic_regression,kaggle
27,5696,0.7317415730337079,0.7317415730337079,0.7949478887214367,0.5787697504404771,0.19545392869180003,0.5000059765998022,logistic_regression,kaggle
28,4638,0.7235877533419578,0.7235877533419578,0.7877248542655577,0.5920733104894303,0.20145327983948141,0.5000010501930093,logistic_regression,kaggle
29,3542,0.7419536984754376,0.7419536984754376,0.7888916131373107,0.601753746838563,0.20566667015134268,0.500003809188851,logistic_regression,kaggle
30,2362,0.6926333615580017,0.6926333615580017,0.7827269331448183,0.6088473643487984,0.20876739076343856,0.5000242169754182,logistic_regression,kaggle
1,12684,0.5770261747082939,0.5775273766068878,0.5840792254506878,0.6828218626403578,0.24470571799266516,0.4994495645221856,random_forest,kaggle
2,12684,0.5897193314411857,0.5894372838729959,0.5968867255394475,0.69310452027727,0.2472328901519123,0.49932732306571465,random_forest,kaggle
3,12684,0.5944497004099654,0.5943604284814115,0.6155023658806388,0.7027984583080182,0.24795004692016015,0.4980143606148292,random_forest,kaggle
4,12684,0.6035950804162725,0.6012950971322849,0.6271061653320891,0.7160049797566792,0.24767229107563096,0.499209549541246,random_forest,kaggle
5,12684,0.6121885840428887,0.6105328569209258,0.6392181699076134,0.7267928598206516,0.24717809309771765,0.5006366129305014,random_forest,kaggle
6,12684,0.6230684326710817,0.6192877884762341,0.6565835542877589,0.7413773656422594,0.24277400096315835,0.5017247488561651,random_forest,kaggle
7,12684,0.6281141595711132,0.6241405653170359,0.6668577361795704,0.7284875440253343,0.24057533225184644,0.498024883888903,random_forest,kaggle
8,12684,0.6346578366445916,0.6288084464555053,0.6764485928283569,0.7449552822659911,0.2387202276305036,0.49852478538662803,random_forest,kaggle
9,12684,0.6425417849258909,0.6366797701844572,0.68873494678049,0.7368622495920785,0.23448437772194775,0.4996971262374529,random_forest,kaggle
10,12684,0.6577578051087984,0.6516598453842656,0.699262056473833,0.7315643247640335,0.23135178822193234,0.5012788734374445,random_forest,kaggle
11,12684,0.6657994323557237,0.6604118993135012,0.7170464760615881,0.7073740405181471,0.22413430301385637,0.49885226962278645,random_forest,kaggle
12,12684,0.6723431094292022,0.6693523396343353,0.7242110606796992,0.716903625500326,0.22191779638800693,0.496511592053469,random_forest,kaggle
13,12684,0.6702144433932513,0.6653899187988356,0.7244698187741099,0.6981317578117079,0.2225443567840545,0.501112748305102,random_forest,kaggle
14,12684,0.6777830337432986,0.6742389120692319,0.7328168588898069,0.7002310099510259,0.21874179041099526,0.4989663093800978,random_forest,kaggle
15,12684,0.6818038473667613,0.6782622139764997,0.7379870482467801,0.6759744327037142,0.21673719879657105,0.5011930020378373,random_forest,kaggle
16,12684,0.7276095868811101,0.7268584001257269,0.7936620688653807,0.5604441034203702,0.18560080510026208,0.49897345806889953,random_forest,kaggle
17,12654,0.7046783625730995,0.7058823529411765,0.7651890491974344,0.6540798144017266,0.20344766702575695,0.49694977421901604,random_forest,kaggle
18,12494,0.704418120697935,0.7015467171717171,0.7637420788295014,0.6828023750901581,0.20506273778316406,0.5005042260929055,random_forest,kaggle
19,12190,0.7055783429040197,0.7048724656638325,0.765897651418846,0.7043488930794282,0.20540175166197694,0.5005749688692157,random_forest,kaggle
20,11758,0.7091342064977036,0.7034585470792653,0.768241582001792,0.7450140719665261,0.204611317316681,0.5011428534983002,random_forest,kaggle
21,11162,0.7099982082064146,0.7060478199718706,0.7664288545738781,0.7520266906623756,0.2047784365701146,0.5010927823547153,random_forest,kaggle
